,0,1,2,3
0,verb_complement,verb_complement_res_adj,这个参议员的肿瘤医师吃饱了,1
1,verb_complement,verb_complement_res_adj,这个参议员的肿瘤医师吃开了,0
2,verb_complement,verb_complement_res_adj,刘超刺伤了王泽爽,1
3,verb_complement,verb_complement_res_adj,刘超刺掉了王泽爽,0
4,verb_complement,verb_complement_res_adj,这个舞蹈家组装对了,1
5,verb_complement,verb_complement_res_adj,这个舞蹈家组装开了,0
6,verb_complement,verb_complement_res_adj,刘丽验证清楚了,1
7,verb_complement,verb_complement_res_adj,刘丽验证每月了,0
8,verb_complement,verb_complement_res_adj,杨玲观察清楚了李淑华,1
9,verb_complement,verb_complement_res_adj,杨玲观察每天了李淑华,0
10,verb_complement,verb_complement_res_adj,那些老人的儿子们刺伤了那些儿童,1
11,verb_complement,verb_complement_res_adj,那些老人的儿子们刺掉了那些儿童,0
12,verb_complement,verb_complement_res_adj,有个女孩喝醉了,1
13,verb_complement,verb_complement_res_adj,有个女孩喝开了,0
14,verb_complement,verb_complement_res_adj,杨芳带对了电影院,1
15,verb_complement,verb_complement_res_adj,杨芳带掉了电影院,0
16,verb_complement,verb_complement_res_adj,有些家伙培养错了,1
17,verb_complement,verb_complement_res_adj,有些家伙培养开了,0
18,verb_complement,verb_complement_res_adj,这个司机喝醉了,1
19,verb_complement,verb_complement_res_adj,这个司机喝开了,0
20,verb_complement,verb_complement_res_adj,这些顾客爱错了这些女孩,1
21,verb_complement,verb_complement_res_adj,这些顾客爱掉了这些女孩,0
22,verb_complement,verb_complement_res_adj,有个女演员写好了纪录片,1
23,verb_complement,verb_complement_res_adj,有个女演员写开了纪录片,0
24,verb_complement,verb_complement_res_adj,宋兆旭的导师刺伤了谢梦梦,1
25,verb_complement,verb_complement_res_adj,宋兆旭的导师刺掉了谢梦梦,0
26,verb_complement,verb_complement_res_adj,关彤彤批评错了朱德玲的外甥,1
27,verb_complement,verb_complement_res_adj,关彤彤批评掉了朱德玲的外甥,0
28,verb_complement,verb_complement_res_adj,大家恨错了林棋,1
29,verb_complement,verb_complement_res_adj,大家恨开了林棋,0
30,verb_complement,verb_complement_res_adj,施月穿好了袜子,1
31,verb_complement,verb_complement_res_adj,施月穿掉了袜子,0
32,verb_complement,verb_complement_res_adj,张伟刺伤了严莉莉,1
33,verb_complement,verb_complement_res_adj,张伟刺开了严莉莉,0
34,verb_complement,verb_complement_res_adj,有个司机的兄弟刺伤了张雨馨,1
35,verb_complement,verb_complement_res_adj,有个司机的兄弟刺开了张雨馨,0
36,verb_complement,verb_complement_res_adj,王慧的文章吓坏了包曼玉,1
37,verb_complement,verb_complement_res_adj,王慧的文章吓开了包曼玉,0
